mol102,48
mol103,48
mol104,47
mol106,56
mol108,62
mol109,52
mol10,52
mol110,55
mol11,66
mol12,59
mol136,53
mol137,53
mol138,53
mol13,62
mol140,54
mol142,57
mol143,60
mol144,59
mol145,59
mol146,53
mol147,56
mol148,59
mol14,64
mol150,59
mol15,58
mol161,55
mol162,55
mol168,58
mol169,58
mol16,55
mol170,58
mol171,58
mol172,61
mol173,61
mol174,61
mol175,59
mol176,61
mol177,64
mol178,67
mol179,70
mol17,56
mol180,59
mol181,62
mol182,65
mol183,68
mol184,69
mol185,59
mol187,65
mol18,53
mol193,60
mol194,60
mol195,59
mol196,61
mol197,64
mol198,67
mol199,70
mol19,49
mol201,62
mol202,65
mol203,68
mol205,60
mol206,63
mol207,66
mol208,69
mol209,72
mol20,52
mol210,65
mol211,68
mol212,71
mol213,74
mol214,77
mol216,68
mol217,71
mol218,74
mol219,60
mol21,55
mol220,63
mol221,66
mol222,69
mol224,75
mol226,60
mol227,63
mol228,66
mol22,58
mol230,72
mol232,59
mol234,65
mol237,64
mol238,67
mol239,70
mol23,52
mol240,62
mol241,65
mol242,59
mol243,62
mol244,65
mol245,68
mol246,61
mol24,55
mol250,61
mol251,64
mol252,67
mol253,64
mol254,67
mol257,61
mol25,58
mol260,61
mol261,64
mol262,64
mol263,64
mol264,64
mol265,67
mol266,70
mol267,73
mol268,63
mol269,62
mol26,61
mol270,65
mol271,68
mol272,71
mol273,59
mol274,62
mol278,63
mol279,65
mol27,46
mol280,68
mol281,59
mol282,62
mol283,65
mol288,56
mol289,56
mol28,46
mol290,56
mol291,56
mol294,56
mol297,59
mol298,59
mol299,57
mol29,49
mol300,59
mol301,62
mol302,65
mol303,68
mol304,71
mol305,74
mol306,77
mol307,58
mol308,57
mol309,60
mol30,52
mol310,63
mol311,66
mol313,59
mol314,62
mol315,65
mol316,68
mol318,69
mol319,58
mol31,46
mol324,73
mol325,57
mol326,60
mol327,63
mol328,66
mol329,69
mol32,46
mol330,72
mol331,75
mol333,59
mol334,62
mol335,65
mol336,68
mol337,71
mol339,57
mol33,46
mol340,60
mol341,63
mol342,66
mol343,69
mol344,58
mol345,58
mol346,57
mol347,61
mol348,64
mol349,67
mol34,46
mol350,70
mol351,73
mol352,59
mol353,62
mol354,65
mol355,68
mol356,71
mol357,74
mol359,60
mol35,47
mol360,63
mol361,66
mol362,69
mol363,72
mol364,75
mol365,78
mol366,81
mol367,66
mol368,69
mol369,72
mol36,48
mol370,58
mol371,61
mol372,64
mol375,64
mol376,62
mol377,65
mol37,52
mol380,64
mol381,67
mol382,70
mol384,64
mol386,70
mol387,67
mol388,67
mol38,58
mol396,52
mol397,55
mol398,58
mol399,49
mol39,55
mol402,49
mol403,54
mol404,57
mol408,56
mol409,59
mol40,61
mol41,64
mol42,49
mol43,52
mol44,48
mol45,50
mol46,47
mol47,48
mol49,54
mol50,52
mol51,55
mol52,58
mol53,57
mol54,59
mol55,47
mol56,48
mol57,50
mol58,53
mol59,56
mol5,71
mol60,51
mol61,54
mol67,51
mol74,49
mol75,52
mol76,55
mol77,58
mol78,51
mol79,51
mol87,50
mol88,53
mol90,47
mol98,49
mol99,52
mol9,76
